,Year,StateAbbr,CityName,Data_Value,PopulationCount,GeoLocation,Short_Question_Text
1,2016,MO,Kansas City,36.8,2369,"(39.2052775145, -94.5110939484)",Sleep <7 hours
2,2016,WI,Milwaukee,49.9,2121,"(43.0678886238, -87.9461708483)",Sleep <7 hours
3,2016,AZ,Phoenix,41.2,7944,"(33.4730267625, -112.211998108)",Sleep <7 hours
4,2016,CA,Vallejo,37.7,3764,"(38.0725586994, -122.217626111)",Sleep <7 hours
5,2016,CA,Oakland,38.7,3414,"(37.7831287129, -122.214396512)",Sleep <7 hours
6,2016,OK,Oklahoma City,42,4564,"(35.5801039, -97.5226861948)",Sleep <7 hours
7,2016,CA,San Francisco,34.8,7630,"(37.7794338842, -122.410723781)",Sleep <7 hours
8,2016,MI,Sterling Heights,37.2,129699,"(42.580985283, -83.0303680858)",Sleep <7 hours
9,2016,CO,Greeley,NA,41,"(40.4631247566, -104.750187158)",Sleep <7 hours
10,2016,GA,Savannah,30.7,1053,"(32.0717554728, -81.0917023008)",Sleep <7 hours
11,2016,HI,Honolulu,42,3661,"(21.4104099607, -157.771753872)",Sleep <7 hours
12,2016,CA,San Francisco,30.4,805235,"(37.7559136611, -122.440987876)",Sleep <7 hours
13,2016,NY,New York,39.8,3400,"(40.7590237875, -73.8798382701)",Sleep <7 hours
14,2016,NY,New York,48.1,4080,"(40.6512351956, -73.9607362905)",Sleep <7 hours
15,2016,OH,Columbus,NA,4,"(39.8161716, -83.0238555977)",Sleep <7 hours
16,2016,TX,College Station,32.5,5009,"(30.5898056063, -96.297996225)",Sleep <7 hours
17,2016,OK,Tulsa,30.7,2620,"(36.1401957118, -95.9947656766)",Sleep <7 hours
18,2016,FL,Orlando,33,3142,"(28.5312814112, -81.3373213867)",Sleep <7 hours
19,2016,NV,Las Vegas,38.5,3880,"(36.2221712847, -115.269746571)",Sleep <7 hours
20,2016,CA,San Francisco,30,4350,"(37.7833399418, -122.429342787)",Sleep <7 hours
21,2016,CA,Oceanside,33.7,3566,"(33.1989457661, -117.379427228)",Sleep <7 hours
22,2016,NE,Omaha,35.1,3584,"(41.1977694819, -95.9356171365)",Sleep <7 hours
23,2016,WA,Renton,31.6,7517,"(47.4368848604, -122.20126782)",Sleep <7 hours
24,2016,KS,Wichita,39.3,3694,"(37.6691203451, -97.2561475069)",Sleep <7 hours
25,2016,NY,New York,40.6,3722,"(40.7055403903, -73.9126439316)",Sleep <7 hours
26,2016,AZ,Mesa,32.7,3724,"(33.4121536951, -111.700703253)",Sleep <7 hours
27,2016,WA,Seattle,33.3,4027,"(47.5297061648, -122.36202789)",Sleep <7 hours
28,2016,CA,Santa Ana,34.5,3843,"(33.7097315046, -117.900653968)",Sleep <7 hours
29,2016,TX,Grand Prairie,38.8,6880,"(32.6841674417, -97.0487338958)",Sleep <7 hours
30,2016,NY,New York,39,3406,"(40.61321958, -73.9571904059)",Sleep <7 hours
31,2016,NY,New York,49.7,4544,"(40.6755739995, -73.9262027586)",Sleep <7 hours
